model_name,accuracy,precision,recall,f1,accuracy_relation,precision_relation,recall_relation,f1_relation
Decision_Tree_pos_enr,0.25878114680276193,0.2251329320298018,0.19850065630844368,0.17944705828016588,0.27409186430501353,0.2418320231571432,0.2117070026283371,0.19818225060249664
SVM_pos_enr,0.2674872410687481,0.2414603135339209,0.19687882785394048,0.16507494400543402,0.2842990093065146,0.34752433877102856,0.2093120581707783,0.1845717542179164
XGBoost_pos_enr,0.2653857700390273,0.17080885609683144,0.20205569884965893,0.16424282287404113,0.27979585709997,0.2408263802405976,0.2170534572078312,0.18872406887020274
Decision_Tree_e1_e2,0.280096067247073,0.27038651457835416,0.25189363511261564,0.25855364194370684,0.2957069948964275,0.2920657495884922,0.2734964037526784,0.2810170651260053
SVM_e1_e2,0.2990093065145602,0.3611688274795413,0.1939022526109584,0.2095955351365069,0.322425697988592,0.396871044592977,0.22173749175690646,0.2413160716982023
XGBoost_e1_e2,0.4344040828580006,0.4558466163079409,0.3939572359730089,0.3941328524367183,0.4485139597718403,0.4784451354909098,0.4105667130250874,0.4148903120691334
Decision_Tree_pos_enr_e1_e2,0.3152206544581207,0.31576533985388594,0.3000877839801768,0.3058389993016153,0.3341338937256079,0.3381872673200819,0.3260379313455465,0.3311275332145162
SVM_pos_enr_e1_e2,0.33383368357850496,0.3790277074799364,0.23094415560300605,0.24115156336255905,0.3464425097568298,0.4264696144664362,0.25505234574337715,0.2745592177490983
XGBoost_pos_enr_e1_e2,0.4587211047733413,0.4626393750727147,0.4073446753379096,0.4080917962728326,0.473131191834284,0.5066455799228233,0.4308257004303143,0.4370827719331995
Decision_Tree_SDP,0.17802461723206245,0.1528206351454658,0.13823521517904594,0.133886970460789,0.22425697988592014,0.2129749519360085,0.19231701236287133,0.18692936030948407
SVM_SDP,0.1840288201741219,0.09850905644499663,0.09759853256492868,0.0761310946799203,0.22305613929750825,0.1780145323683799,0.13302665419624765,0.10404084237426586
XGBoost_SDP,0.20894626238366856,0.26213112824677204,0.13896511801103018,0.14192001507076255,0.25427799459621736,0.3705503740206382,0.18510546647576648,0.1887895264525192
Decision_Tree_e1_e2_padding,0.28459921945361755,0.2731479232717056,0.2589556532116514,0.2638655373567874,0.3002101471029721,0.30100922921122875,0.2869332435278606,0.2924721235605481
SVM_e1_e2_padding,0.3170219153407385,0.3870590376773628,0.216373736768632,0.23565953515342064,0.3308315821074752,0.3879087150497448,0.24204598943065986,0.2595684661015117
XGBoost_e1_e2_padding,0.4596217352146503,0.467793366530815,0.4145302821443233,0.4155103153710309,0.473431401981387,0.5075276664172016,0.4304339080763169,0.4366009984894648
XGBoost_words_in_between,0.1570099069348544,0.2392890988857448,0.09280828788416152,0.09045715155722138,0.19933953767637347,0.2731639643711833,0.12620498194851806,0.1181060537931425
XGBoost_root,0.4181927349144401,0.42215422846473705,0.3721766016651695,0.3692555768129279,0.4365055538877214,0.46410497077745,0.3895280299955331,0.391944587487457
XGBoost_pos_enr_e1e2_root_between,0.48874211948363855,0.5282345252927133,0.4526012596555818,0.46578577949035205,0.5022515761032723,0.5744090479329544,0.4729410194896628,0.4939676622081778
